PC1,PC2,customer_id,cluster
-3664.0000000113987,-0.008018443890853821,241,1
-3663.0000000153036,-0.008633931285450603,242,1
-3661.999999988335,-0.009767299423944272,243,1
-3661.000000019665,-0.008944952053347284,244,1
-3659.99999999855,-0.009504469244578012,245,1
-3658.9999999989977,-0.008159772077281796,246,1
-3657.9999999918036,-0.009704995248577585,247,1
-3656.9999999907645,-0.009708906391460072,248,1
-3656.0000000040855,-0.008101283702304713,249,1
-3655.0000000106297,-0.007752020714033713,250,1
-3654.000000014965,-0.009182086229082948,251,1
-3652.9999999714582,-0.006734685779947085,252,1
-3651.9999999847646,0.07192740268264179,253,1
-3651.000000043337,-0.005025643134829332,254,1
-3649.9999999997317,-0.009465263392863042,255,1
-3649.000000028227,-0.005350986956772447,256,1
-3647.999999985315,-0.00929798018836942,257,1
-3647.0000000132814,-0.008255476095555209,258,1
-3646.000000001306,-0.007997441485031407,259,1
-3645.0000000848713,-0.003485043182598668,260,1
-3643.99999999914,-0.009499571711689808,261,1
-3642.9999999913866,-0.00958507184894819,262,1
-3641.9999999871675,-0.009333648083128976,263,1
-3641.0000000064,-0.010070097995481569,264,1
-3639.9999999894217,-0.00880019574451239,265,1
-3638.999999984368,0.0022188707741748106,266,1
-3638.000000046124,-0.006199885934872555,267,1
